"No.","Time","Source","Destination","Protocol","Length","Info"
"1047","12.493499","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=24345 Ack=11329 Win=260 Len=0"
"1048","12.513540","172.27.131.52","220.181.43.8","TCP","74","64073  >  80 [PSH, ACK] Seq=1 Ack=1 Win=259 Len=20"
"1050","12.521994","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=71384 Ack=31689 Win=260 Len=0"
"1051","12.530667","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=71384 Ack=31689 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1052","12.530667","172.27.131.52","180.149.145.241","TLSv1.2","103","Application Data"
"1053","12.530941","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=48000 Ack=21937 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"1054","12.530943","172.27.131.52","180.149.145.241","TLSv1.2","106","Application Data"
"1061","12.582704","172.27.131.52","220.181.43.8","TCP","54","64073  >  80 [ACK] Seq=21 Ack=23 Win=259 Len=0"
"1063","12.629309","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=43285 Ack=19824 Win=260 Len=0"
"1064","12.651782","172.27.131.52","180.149.145.241","TLSv1.2","1462","Application Data"
"1065","12.676212","172.27.131.52","180.149.145.241","TLSv1.2","1459","Application Data"
"1068","12.723320","172.27.131.52","180.149.145.241","TLSv1.2","1465","Application Data"
"1075","12.794669","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=49504 Ack=22670 Win=260 Len=0"
"1077","12.800894","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=41580 Ack=18249 Win=260 Len=0"
"1079","12.835923","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=44693 Ack=20430 Win=258 Len=0"
"1081","12.869300","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=25756 Ack=11953 Win=258 Len=0"
"1082","12.895842","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=72885 Ack=32399 Win=258 Len=0"
"1083","13.002408","172.27.131.52","140.249.34.15","TLSv1.2","85","Encrypted Alert"
"1084","13.002799","172.27.131.52","140.249.34.15","TCP","54","64195  >  443 [FIN, ACK] Seq=32 Ack=1 Win=258 Len=0"
"1087","13.011458","172.27.131.52","140.249.34.15","TCP","54","64195  >  443 [RST, ACK] Seq=33 Ack=32 Win=0 Len=0"
"1091","13.052543","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=72885 Ack=32399 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1092","13.052544","172.27.131.52","180.149.145.241","TLSv1.2","104","Application Data"
"1093","13.053136","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=49504 Ack=22670 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1094","13.053139","172.27.131.52","180.149.145.241","TLSv1.2","107","Application Data"
"1095","13.055615","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=44693 Ack=20430 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1096","13.055616","172.27.131.52","180.149.145.241","TLSv1.2","104","Application Data"
"1097","13.056006","172.27.131.52","180.149.145.241","TLSv1.2","1444","Application Data"
"1106","13.169593","172.27.131.52","180.149.145.241","TLSv1.2","1450","Application Data"
"1109","13.234883","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=51009 Ack=23384 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1110","13.234884","172.27.131.52","180.149.145.241","TLSv1.2","89","Application Data"
"1116","13.278201","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=46195 Ack=21145 Win=255 Len=0"
"1117","13.299291","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=44366 Ack=19435 Win=256 Len=0"
"1118","13.306141","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=74387 Ack=33124 Win=255 Len=0"
"1119","13.405935","172.27.131.52","180.149.145.241","TLSv1.2","1445","Application Data"
"1120","13.406209","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=46195 Ack=21145 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"1121","13.406211","172.27.131.52","180.149.145.241","TLSv1.2","89","Application Data"
"1126","13.452309","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=52496 Ack=24049 Win=255 Len=0"
"1128","13.537577","172.27.131.52","180.149.145.241","TLSv1.2","1447","Application Data"
"1129","13.537878","172.27.131.52","180.149.145.241","TLSv1.2","1440","Application Data"
"1132","13.583689","172.27.131.52","180.149.145.241","TLSv1.2","1430","Application Data"
"1137","13.662679","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=47682 Ack=21829 Win=260 Len=0"
"1138","13.668847","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=45752 Ack=20020 Win=260 Len=0"
"1139","13.686295","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=53889 Ack=24646 Win=260 Len=0"
"1142","13.791749","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=27132 Ack=12532 Win=256 Len=0"
"1143","13.814971","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=75778 Ack=33725 Win=260 Len=0"
"1144","13.821113","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=75778 Ack=33725 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1145","13.821115","172.27.131.52","180.149.145.241","TLSv1.2","79","Application Data"
"1148","13.942381","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=53889 Ack=24646 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1149","13.942383","172.27.131.52","180.149.145.241","TLSv1.2","90","Application Data"
"1150","13.943412","172.27.131.52","180.149.145.241","TLSv1.2","1434","Application Data"
"1151","13.944215","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=45752 Ack=20020 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1152","13.944215","172.27.131.52","180.149.145.241","TLSv1.2","75","Application Data"
"1153","13.944439","172.27.131.52","180.149.145.241","TCP","1506","64182  >  443 [ACK] Seq=27132 Ack=12532 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"1154","13.944440","172.27.131.52","180.149.145.241","TLSv1.2","84","Application Data"
"1164","14.033996","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=77255 Ack=34385 Win=258 Len=0"
"1165","14.070959","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=49062 Ack=22404 Win=258 Len=0"
"1167","14.160200","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=28614 Ack=13189 Win=260 Len=0"
"1169","14.162984","172.27.131.52","180.149.145.241","TLSv1.2","1459","Application Data"
"1170","14.165951","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=49062 Ack=22404 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1171","14.165952","172.27.131.52","180.149.145.241","TLSv1.2","79","Application Data"
"1175","14.202918","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=47225 Ack=20653 Win=258 Len=0"
"1177","14.270890","172.27.131.52","180.97.34.23","TCP","66","64210  >  5287 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1179","14.275440","172.27.131.52","180.97.34.23","TCP","54","64210  >  5287 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"1180","14.275553","172.27.131.52","180.97.34.23","TCP","259","64210  >  5287 [PSH, ACK] Seq=1 Ack=1 Win=66560 Len=205"
"1181","14.276650","172.27.131.52","180.149.145.241","TLSv1.2","1444","Application Data"
"1185","14.362380","172.27.131.52","180.149.145.241","TLSv1.2","1452","Application Data"
"1186","14.362997","172.27.131.52","180.149.145.241","TCP","1506","64182  >  443 [ACK] Seq=28614 Ack=13189 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1187","14.363001","172.27.131.52","180.149.145.241","TLSv1.2","98","Application Data"
"1189","14.371269","172.27.131.52","180.97.34.23","TCP","54","64210  >  5287 [ACK] Seq=206 Ack=46 Win=66560 Len=0"
"1194","14.412661","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=80050 Ack=35559 Win=260 Len=0"
"1195","14.426781","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=50539 Ack=23049 Win=256 Len=0"
"1197","14.466485","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=80050 Ack=35559 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1198","14.466487","172.27.131.52","180.149.145.241","TLSv1.2","89","Application Data"
"1202","14.491928","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=48623 Ack=21252 Win=256 Len=0"
"1204","14.573307","172.27.131.52","180.149.145.241","TLSv1.2","1457","Application Data"
"1205","14.573555","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=48623 Ack=21252 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"1206","14.573556","172.27.131.52","180.149.145.241","TLSv1.2","91","Application Data"
"1207","14.581715","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=30110 Ack=13866 Win=258 Len=0"
"1212","14.642848","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=55377 Ack=25343 Win=258 Len=0"
"1213","14.650017","172.27.131.52","180.149.145.241","TLSv1.2","1458","Application Data"
"1217","14.692537","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=81537 Ack=36226 Win=258 Len=0"
"1218","14.700183","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=51942 Ack=23661 Win=260 Len=0"
"1220","14.744874","172.27.131.52","180.149.145.241","TLSv1.2","1458","Application Data"
"1221","14.745325","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=56781 Ack=25935 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"1222","14.745328","172.27.131.52","180.149.145.241","TLSv1.2","90","Application Data"
"1227","14.805582","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=50112 Ack=21927 Win=260 Len=0"
"1229","14.881763","172.27.131.52","180.149.145.241","TLSv1.2","85","Encrypted Alert"
"1230","14.881903","172.27.131.52","180.149.145.241","TCP","54","64197  >  443 [FIN, ACK] Seq=32 Ack=1 Win=258 Len=0"
"1233","14.883417","172.27.131.52","180.149.145.241","TCP","54","64197  >  443 [RST, ACK] Seq=33 Ack=32 Win=0 Len=0"
"1234","14.884897","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=82941 Ack=36818 Win=255 Len=0"
"1238","15.000065","172.27.131.52","180.149.145.241","TLSv1.2","1456","Application Data"
"1239","15.022055","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=51942 Ack=23661 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1240","15.022057","172.27.131.52","180.149.145.241","TLSv1.2","91","Application Data"
"1241","15.022342","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=50112 Ack=21927 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1242","15.022342","172.27.131.52","180.149.145.241","TLSv1.2","97","Application Data"
"1243","15.023219","172.27.131.52","180.149.145.241","TLSv1.2","1447","Application Data"
"1252","15.127401","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=58269 Ack=26618 Win=260 Len=0"
"1253","15.129085","172.27.131.52","180.97.34.23","TCP","66","64211  >  5287 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1255","15.133489","172.27.131.52","180.97.34.23","TCP","54","64211  >  5287 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"1256","15.133632","172.27.131.52","180.97.34.23","TCP","259","64211  >  5287 [PSH, ACK] Seq=1 Ack=1 Win=66560 Len=205"
"1258","15.166119","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=31503 Ack=14477 Win=255 Len=0"
"1261","15.191090","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=84343 Ack=37411 Win=260 Len=0"
"1263","15.222959","172.27.131.52","180.97.34.23","TCP","54","64211  >  5287 [ACK] Seq=206 Ack=46 Win=66560 Len=0"
"1264","15.251988","172.27.131.52","180.149.145.241","TLSv1.2","1448","Application Data"
"1265","15.260795","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=51607 Ack=22614 Win=258 Len=0"
"1267","15.300542","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=58269 Ack=26618 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1268","15.300543","172.27.131.52","180.149.145.241","TLSv1.2","92","Application Data"
"1269","15.317601","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=51607 Ack=22614 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1270","15.317603","172.27.131.52","180.149.145.241","TLSv1.2","95","Application Data"
"1276","15.347796","172.27.131.52","52.114.75.78","TCP","66","[TCP Retransmission] 64207  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1277","15.357226","172.27.131.52","180.149.145.241","TLSv1.2","1453","Application Data"
"1280","15.411039","172.27.131.52","180.149.145.241","TCP","1506","64182  >  443 [ACK] Seq=31503 Ack=14477 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"1281","15.411040","172.27.131.52","180.149.145.241","TLSv1.2","95","Application Data"
"1285","15.499122","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=87136 Ack=38635 Win=256 Len=0"
"1286","15.536272","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=87136 Ack=38635 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"1287","15.536272","172.27.131.52","180.149.145.241","TLSv1.2","92","Application Data"
"1291","15.602885","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=59759 Ack=27289 Win=258 Len=0"
"1293","15.694573","172.27.131.52","180.149.145.241","TLSv1.2","1464","Application Data"
"1294","15.717832","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=53100 Ack=23293 Win=255 Len=0"
"1296","15.739571","172.27.131.52","180.149.145.241","TLSv1.2","1464","Application Data"
"1299","15.775146","172.27.131.52","52.114.75.78","TCP","54","64207  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"1300","15.775530","172.27.131.52","52.114.75.78","TLSv1.2","266","Client Hello"
"1303","15.818420","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=61169 Ack=27909 Win=255 Len=0"
"1305","15.862720","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=54510 Ack=23893 Win=260 Len=0"
"1306","15.913739","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=61169 Ack=27909 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"1307","15.913739","172.27.131.52","180.149.145.241","TLSv1.2","103","Application Data"
"1308","15.914050","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=54510 Ack=23893 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1309","15.914052","172.27.131.52","180.149.145.241","TLSv1.2","103","Application Data"
"1315","16.206056","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=56011 Ack=24607 Win=258 Len=0"
"1316","16.219467","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=62670 Ack=28623 Win=260 Len=0"
"1317","16.242046","172.27.131.52","180.149.145.241","TLSv1.2","1467","Application Data"
"1320","16.332703","172.27.131.52","180.149.145.241","TLSv1.2","1487","Application Data"
"1323","16.374701","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=64083 Ack=29248 Win=258 Len=0"
"1324","16.379745","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=64083 Ack=29248 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1325","16.379746","172.27.131.52","180.149.145.241","TLSv1.2","106","Application Data"
"1329","16.428519","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=88626 Ack=39306 Win=260 Len=0"
"1331","16.457989","172.27.131.52","180.149.145.241","TLSv1.2","1485","Application Data"
"1334","16.508162","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=57444 Ack=25232 Win=255 Len=0"
"1337","16.592174","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=65587 Ack=29955 Win=255 Len=0"
"1338","16.598153","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=90057 Ack=39944 Win=258 Len=0"
"1339","16.651604","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=90057 Ack=39944 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1340","16.651605","172.27.131.52","180.149.145.241","TLSv1.2","126","Application Data"
"1341","16.651878","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=65587 Ack=29955 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"1342","16.651880","172.27.131.52","180.149.145.241","TLSv1.2","124","Application Data"
"1347","16.740109","172.27.131.52","180.149.145.241","TLSv1.2","1485","Application Data"
"1351","16.868046","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=58875 Ack=25875 Win=260 Len=0"
"1353","16.906358","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=53431 Ack=24365 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1354","16.906359","172.27.131.52","180.149.145.241","TLSv1.2","124","Application Data"
"1358","16.954865","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=91581 Ack=40695 Win=255 Len=0"
"1359","16.959546","172.27.131.52","180.149.145.241","TLSv1.2","1495","Application Data"
"1360","16.981859","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=67109 Ack=30697 Win=260 Len=0"
"1362","17.004629","172.27.131.52","180.149.145.241","TLSv1.2","1489","Application Data"
"1365","17.050798","172.27.131.52","180.149.145.241","TLSv1.2","1486","Application Data"
"1367","17.113785","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=58875 Ack=25875 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1368","17.113787","172.27.131.52","180.149.145.241","TLSv1.2","134","Application Data"
"1372","17.174372","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=94454 Ack=41993 Win=258 Len=0"
"1373","17.188418","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=32996 Ack=15156 Win=260 Len=0"
"1374","17.228095","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=94454 Ack=41993 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1375","17.228096","172.27.131.52","180.149.145.241","TLSv1.2","119","Application Data"
"1379","17.275011","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=54953 Ack=25108 Win=255 Len=0"
"1380","17.299774","172.27.131.52","180.149.145.241","TLSv1.2","1480","Application Data"
"1383","17.366443","172.27.131.52","180.149.145.241","TLSv1.2","1464","Application Data"
"1387","17.420665","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=95971 Ack=42748 Win=255 Len=0"
"1388","17.423829","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=56379 Ack=25733 Win=260 Len=0"
"1392","17.481290","172.27.131.52","180.149.145.241","TLSv1.2","1464","Application Data"
"1393","17.498247","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=68544 Ack=31324 Win=258 Len=0"
"1395","17.518624","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=61817 Ack=27270 Win=255 Len=0"
"1398","17.575569","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=97381 Ack=43367 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1399","17.575571","172.27.131.52","180.149.145.241","TLSv1.2","125","Application Data"
"1400","17.576697","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=68544 Ack=31324 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1401","17.576698","172.27.131.52","180.149.145.241","TLSv1.2","122","Application Data"
"1406","17.690705","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=56379 Ack=25733 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1407","17.690708","172.27.131.52","180.149.145.241","TLSv1.2","97","Application Data"
"1410","17.738607","172.27.131.52","180.149.145.241","TLSv1.2","1467","Application Data"
"1411","17.738970","172.27.131.52","180.149.145.241","TCP","1506","64182  >  443 [ACK] Seq=32996 Ack=15156 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1412","17.738972","172.27.131.52","180.149.145.241","TLSv1.2","103","Application Data"
"1418","17.835475","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=98904 Ack=44116 Win=257 Len=0"
"1419","17.856903","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=70064 Ack=32080 Win=255 Len=0"
"1422","17.908914","172.27.131.52","180.149.145.241","TLSv1.2","1466","Application Data"
"1426","17.934114","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=34497 Ack=15856 Win=258 Len=0"
"1427","17.969319","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=57874 Ack=26426 Win=258 Len=0"
"1429","17.972678","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=63230 Ack=27870 Win=260 Len=0"
"1431","18.055218","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=100316 Ack=44726 Win=255 Len=0"
"1432","18.102798","172.27.131.52","180.149.145.241","TLSv1.2","1468","Application Data"
"1434","18.161326","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=70064 Ack=32080 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"1435","18.161328","172.27.131.52","180.149.145.241","TLSv1.2","106","Application Data"
"1436","18.161621","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=57874 Ack=26426 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1437","18.161621","172.27.131.52","180.149.145.241","TLSv1.2","105","Application Data"
"1443","18.255783","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=101730 Ack=45352 Win=260 Len=0"
"1446","18.371183","172.27.131.52","180.149.145.241","TLSv1.2","1459","Application Data"
"1447","18.371445","172.27.131.52","180.149.145.241","TLSv1.2","1444","Application Data"
"1448","18.371703","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=63230 Ack=27870 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1449","18.371704","172.27.131.52","180.149.145.241","TLSv1.2","107","Application Data"
"1453","18.398763","172.27.131.52","52.114.75.78","TCP","54","64207  >  443 [ACK] Seq=213 Ack=1461 Win=66048 Len=0"
"1455","18.420409","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=71568 Ack=32774 Win=260 Len=0"
"1458","18.500086","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=60767 Ack=27725 Win=260 Len=0"
"1459","18.537513","172.27.131.52","180.149.145.241","TLSv1.2","1451","Application Data"
"1460","18.537875","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=60767 Ack=27725 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1461","18.537877","172.27.131.52","180.149.145.241","TLSv1.2","89","Application Data"
"1464","18.583052","172.27.131.52","180.149.145.241","TLSv1.2","1452","Application Data"
"1467","18.662075","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=72965 Ack=33368 Win=258 Len=0"
"1469","18.685216","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=72965 Ack=33368 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1470","18.685222","172.27.131.52","180.149.145.241","TLSv1.2","90","Application Data"
"1471","18.706857","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=35895 Ack=16442 Win=255 Len=0"
"1474","18.739421","172.27.131.52","180.149.145.241","TCP","1506","64182  >  443 [ACK] Seq=35895 Ack=16442 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"1475","18.739422","172.27.131.52","180.149.145.241","TLSv1.2","85","Application Data"
"1479","18.785622","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=62254 Ack=28393 Win=258 Len=0"
"1481","18.801883","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=62254 Ack=28393 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1482","18.801885","172.27.131.52","180.149.145.241","TLSv1.2","102","Application Data"
"1487","18.849429","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=103135 Ack=45945 Win=258 Len=0"
"1488","18.866377","172.27.131.52","52.114.75.78","TCP","54","64207  >  443 [ACK] Seq=213 Ack=2921 Win=66048 Len=0"
"1489","18.928171","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=103135 Ack=45945 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1490","18.928172","172.27.131.52","180.149.145.241","TLSv1.2","98","Application Data"
"1493","19.022842","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=37378 Ack=17131 Win=260 Len=0"
"1495","19.099398","172.27.131.52","180.149.145.241","TLSv1.2","1452","Application Data"
"1497","19.161231","172.27.131.52","180.149.145.241","TLSv1.2","1477","Application Data"
"1500","19.220037","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=106029 Ack=47247 Win=260 Len=0"
"1502","19.248479","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=106029 Ack=47247 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1503","19.248480","172.27.131.52","180.149.145.241","TLSv1.2","97","Application Data"
"1506","19.288330","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=38801 Ack=17747 Win=258 Len=0"
"1507","19.301196","172.27.131.52","180.149.145.241","TCP","1506","64182  >  443 [ACK] Seq=38801 Ack=17747 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1508","19.301198","172.27.131.52","180.149.145.241","TLSv1.2","110","Application Data"
"1513","19.428008","172.27.131.52","180.149.145.241","TCP","66","64212  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1514","19.448524","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=63754 Ack=29072 Win=255 Len=0"
"1516","19.451307","172.27.131.52","180.149.145.241","TCP","54","64212  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"1517","19.451492","172.27.131.52","180.149.145.241","TLSv1.2","571","Client Hello"
